"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"667","JE111624","1/13/2021 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",25,"AUSTIN",37,"BONA FIDE",NA,1
"668","JE111977","1/13/2021 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"MONTCLARE",29,"BONA FIDE",NA,1
"669","JE115692","1/17/2021 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION","ANTI-ISLAMIC/MUSLIM","North",19,"LINCOLN SQUARE",47,"BONA FIDE",NA,0
"670","JE120546","1/22/2021 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION","ANTI-ISLAMIC/MUSLIM","Central",3,"WOODLAWN",20,"BONA FIDE",NA,1
"671","JE121985","1/23/2021 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",25,"AUSTIN",37,"BONA FIDE",NA,1
"672","JE139562","2/12/2021 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ARAB","North",11,"LOOP",42,"BONA FIDE",NA,0
"673","JE148709","2/22/2021 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",24,"ROGERS PARK",49,"BONA FIDE",NA,1
"674","JE156625","3/2/2021 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"675","JE160252","3/5/2021 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","Central",2,"WASHINGTON PARK",20,"BONA FIDE",NA,0
"676","JE167427","3/12/2021 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","C - SEXUAL ORIENTATION"," ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP)","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"677","JE167486","3/13/2021 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"AUBURN GRESHAM",21,"BONA FIDE",NA,1
"678","JE167626","3/12/2021 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-CATHOLIC","North",15,"AUSTIN",29,"BONA FIDE",NA,0
"679","JE167687","3/13/2021 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","South",6,"GREATER GRAND CROSSING",8,"BONA FIDE",NA,1
"680","JE170837","3/16/2021 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",2,"GRAND BOULEVARD",3,"BONA FIDE",NA,1
"681","JE178433","3/24/2021 12:00:00 AM","5080","NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS","B - RELIGION"," ANTI-JEWISH","Central",12,"NEAR WEST SIDE",25,"BONA FIDE",NA,0
"682","JE182135","3/2/2021 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",15,"AUSTIN",29,"BONA FIDE",NA,1
"683","JE183688","3/29/2021 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"CHATHAM",8,"BONA FIDE",NA,1
"684","JE185698","3/31/2021 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",5,"ROSELAND",9,"BONA FIDE",NA,1
