"","RD_NO","DATEOCC","IUCR_CODE","Offense","CLASS","Motivations","CPD.Area","DISTRICT","Community","WARD","DISPOSITION","X","violent_crime"
"1","HV113109","1/10/2012 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",32,"UNDETERMINED",NA,0
"2","HV117394","1/12/2012 12:00:00 AM","580","STALKING: SIMPLE","B - RELIGION","ANTI-MULTIPLE RELIGIONS/GROUPS","Central",18,"NEAR NORTH SIDE",32,"UNFOUNDED",NA,0
"3","HV119102","1/16/2012 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",9,"ARMOUR SQUARE",11,"UNFOUNDED",NA,1
"4","HV132973","1/26/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"5","HV139773","1/31/2012 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"NEAR SOUTH SIDE",2,"UNFOUNDED",NA,0
"6","HV140565","1/31/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"7","HV155229","2/12/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"LINCOLN PARK",43,"UNDETERMINED",NA,0
"8","HV159486","2/15/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",12,"NEAR WEST SIDE",27,"UNDETERMINED",NA,1
"9","HV183392","3/4/2012 12:00:00 AM","560","ASSAULT: SIMPLE","B - RELIGION"," ANTI-JEWISH","Central",12,"WEST TOWN",26,"UNFOUNDED",NA,1
"10","HV188252","3/8/2012 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",14,"LOGAN SQUARE",35,"UNDETERMINED",NA,0
"11","HV195090","3/13/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",14,"WEST TOWN",1,"BONA FIDE",NA,0
"12","HV204711","3/19/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"UNDETERMINED",NA,1
"13","HV209288","3/18/2012 12:00:00 AM","495","BATTERY: AGGRAVATED OF A SENIOR CITIZEN","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",24,"ROGERS PARK",49,"UNDETERMINED",NA,1
"14","HV217606","3/28/2012 12:00:00 AM","1375","CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",46,"BONA FIDE",NA,0
"15","HV218355","3/28/2012 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",8,"ASHBURN",18,"UNFOUNDED",NA,1
"16","HV219309","3/29/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"UNDETERMINED",NA,0
"17","HV225976","4/3/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-CATHOLIC","Central",9,"BRIDGEPORT",11,"UNFOUNDED",NA,0
"18","HV252865","4/22/2012 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",17,"ALBANY PARK",39,"UNDETERMINED",NA,0
"19","HV258108","4/25/2012 12:00:00 AM","462","BATTERY: AGG PRO EMP HANDS SERIOUS INJ","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"BONA FIDE",NA,1
"20","HV284651","5/12/2012 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","Central",2,"GRAND BOULEVARD",3,"UNFOUNDED",NA,1
"21","HV306377","5/27/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",22,"MOUNT GREENWOOD",19,"UNDETERMINED",NA,1
"22","HV308105","5/29/2012 12:00:00 AM","2825","OTHER OFFENSE: HARASSMENT BY TELEPHONE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",5,"WEST PULLMAN",34,"UNDETERMINED",NA,0
"23","HV314090","5/31/2012 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",24,"ROGERS PARK",49,"UNDETERMINED",NA,0
"24","HV314634","6/2/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"CHATHAM",8,"UNDETERMINED",NA,0
"25","HV322012","6/2/2012 12:00:00 AM","495","BATTERY: AGGRAVATED OF A SENIOR CITIZEN","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",19,"UPTOWN",46,"UNDETERMINED",NA,1
"26","HV325066","6/8/2012 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",19,"LINCOLN PARK",32,"UNFOUNDED",NA,1
"27","HV335354","6/15/2012 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",8,"GARFIELD RIDGE",23,"BONA FIDE",NA,1
"28","HV340524","6/18/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",44,"UNDETERMINED",NA,0
"29","HV346855","6/22/2012 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","Central",8,"WEST LAWN",13,"UNDETERMINED",NA,1
"30","HV346960","6/22/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"MORGAN PARK",19,"UNDETERMINED",NA,1
"31","HV348269","6/22/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-BISEXUAL","South",4,"SOUTH SHORE",7,"BONA FIDE",NA,1
"32","HV376273","7/10/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",47,"UNDETERMINED",NA,0
"33","HV384026","7/15/2012 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"SOUTH CHICAGO",10,"UNDETERMINED",NA,1
"34","HV397359","7/23/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"HUMBOLDT PARK",27,"BONA FIDE",NA,1
"35","HV398051","7/24/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",25,"DUNNING",36,"BONA FIDE",NA,1
"36","HV407041","7/29/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",17,"IRVING PARK",33,"UNDETERMINED",NA,0
"37","HV422617","8/9/2012 12:00:00 AM","440","BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",14,"HUMBOLDT PARK",26,"BONA FIDE",NA,1
"38","HV423193","8/9/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"BEVERLY",19,"UNDETERMINED",NA,0
"39","HV444879","8/24/2012 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",1,"LOOP",2,"BONA FIDE",NA,0
"40","HV469941","9/10/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",10,"SOUTH LAWNDALE",22,"BONA FIDE",NA,1
"41","HV470233","9/9/2012 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","North",19,"LAKE VIEW",44,"BONA FIDE",NA,0
"42","HV472097","9/12/2012 12:00:00 AM","1345","CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"NORTH CENTER",47,"UNFOUNDED",NA,0
"43","HV472586","9/11/2012 12:00:00 AM","2850","PUBLIC PEACE VIOLATION: BOMB THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",12,"EAST GARFIELD PARK",2,"UNDETERMINED",NA,0
"44","HV474601","9/13/2012 12:00:00 AM","483","BATTERY: AGG PRO.EMP: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNFOUNDED",NA,1
"45","HV479585","9/16/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"NEW CITY",20,"UNDETERMINED",NA,1
"46","HV482194","9/19/2012 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","Central",8,"WEST LAWN",13,"UNDETERMINED",NA,0
"47","HV484358","9/20/2012 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",3,"SOUTH SHORE",5,"UNDETERMINED",NA,1
"48","HV490722","9/25/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",17,"NORTH PARK",39,"UNDETERMINED",NA,0
"49","HV492494","9/26/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"AVALON PARK",8,"UNDETERMINED",NA,1
"50","HV493545","9/27/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",11,"HUMBOLDT PARK",28,"UNFOUNDED",NA,1
"51","HV496424","9/29/2012 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",14,"WEST TOWN",1,"UNDETERMINED",NA,1
"52","HV501960","10/2/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",1,"LOOP",2,"BONA FIDE",NA,1
"53","HV519345","10/15/2012 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",15,"AUSTIN",29,"BONA FIDE",NA,0
"54","HV520231","10/15/2012 12:00:00 AM","479","BATTERY: AGG: HANDS/FIST/FEET SERIOUS INJURY","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"GREATER GRAND CROSSING",6,"BONA FIDE",NA,1
"55","HV521172","1/29/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","B - RELIGION"," ANTI-JEWISH","North",19,"LINCOLN PARK",32,"UNFOUNDED",NA,0
"56","HV525295","10/19/2012 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",42,"UNFOUNDED",NA,1
"57","HV525586","10/19/2012 12:00:00 AM","110","HOMICIDE: FIRST DEGREE MURDER","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",4,"SOUTH DEERING",7,"UNFOUNDED",NA,1
"58","HV527855","10/21/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",18,"NEAR NORTH SIDE",32,"BONA FIDE",NA,1
"59","HV529581","10/22/2012 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LINCOLN SQUARE",47,"UNDETERMINED",NA,1
"60","HV530278","10/22/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",16,"DUNNING",38,"UNFOUNDED",NA,1
"61","HV537735","10/28/2012 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LINCOLN PARK",43,"BONA FIDE",NA,1
"62","HV543176","11/1/2012 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"JEFFERSON PARK",45,"UNDETERMINED",NA,0
"63","HV543739","10/26/2012 12:00:00 AM","4386","OTHER OFFENSE: VIOLATION OF CIVIL NO CONTACT ORDER","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"UNDETERMINED",NA,0
"64","HV548579","11/5/2012 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"BONA FIDE",NA,0
"65","HV552419","11/6/2012 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",9,"NEW CITY",11,"UNDETERMINED",NA,0
"66","HV555017","11/9/2012 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-BISEXUAL","South",5,"ROSELAND",6,"UNDETERMINED",NA,1
"67","HV570092","11/18/2012 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",18,"NEAR NORTH SIDE",42,"UNFOUNDED",NA,0
"68","HW104464","1/4/2013 12:00:00 AM","2826","OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS","B - RELIGION"," ANTI-JEWISH","Central",1,"NEAR WEST SIDE",42,"UNDETERMINED",NA,0
"69","HW110621","1/9/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"IRVING PARK",45,"UNDETERMINED",NA,1
"70","HW121702","1/18/2013 12:00:00 AM","5001","OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",25,"BELMONT CRAGIN",31,"BONA FIDE",NA,0
"71","HW145633","2/5/2013 12:00:00 AM","484","BATTERY: PRO EMP HANDS NO/MIN INJURY","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",19,"LINCOLN PARK",43,"BONA FIDE",NA,1
"72","HW151571","2/9/2013 12:00:00 AM","610","BURGLARY: FORCIBLE ENTRY","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","Central",3,"SOUTH SHORE",5,"BONA FIDE",NA,0
"73","HW151622","2/10/2013 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",17,"IRVING PARK",33,"UNDETERMINED",NA,0
"74","HW153095","2/11/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",1,"LOOP",2,"BONA FIDE",NA,1
"75","HW154027","2/12/2013 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNFOUNDED",NA,1
"76","HW159525","2/16/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNDETERMINED",NA,1
"77","HW183153","3/7/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"AUBURN GRESHAM",18,"BONA FIDE",NA,1
"78","HW186519","3/10/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"EDGEWATER",48,"UNDETERMINED",NA,1
"79","HW195990","3/17/2013 12:00:00 AM","1320","CRIMINAL DAMAGE: TO VEHICLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","South",4,"CALUMET HEIGHTS",7,"BONA FIDE",NA,0
"80","HW199912","3/20/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",19,"LAKE VIEW",32,"UNDETERMINED",NA,1
"81","HW215740","1/7/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",27,"UNFOUNDED",NA,1
"82","HW215740","1/7/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",18,"NEAR NORTH SIDE",43,"UNFOUNDED",NA,1
"83","HW218760","3/29/2013 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-MULTIPLE RACES/GROUP","South",22,"BEVERLY",19,"BONA FIDE",NA,0
"84","HW241939","4/21/2013 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","North",16,"PORTAGE PARK",38,"UNDETERMINED",NA,0
"85","HW259347","5/2/2013 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"UNDETERMINED",NA,0
"86","HW261991","5/6/2013 12:00:00 AM","1025","ARSON: AGGRAVATED","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",5,"WEST PULLMAN",34,"UNDETERMINED",NA,1
"87","HW280041","5/18/2013 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","Central",2,"DOUGLAS",3,"UNDETERMINED",NA,1
"88","HW295465","5/28/2013 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",24,"EDGEWATER",48,"UNDETERMINED",NA,1
"89","HW296394","5/30/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","Central",3,"WOODLAWN",5,"UNFOUNDED",NA,1
"90","HW305307","6/5/2013 12:00:00 AM","1477","WEAPONS VIOLATION: RECKLESS FIREARM DISCHARGE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",25,"AUSTIN",36,"UNFOUNDED",NA,0
"91","HW305585","6/5/2013 12:00:00 AM","430","BATTERY: AGGRAVATED: OTHER DANG WEAPON","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",11,"WEST GARFIELD PARK",28,"UNDETERMINED",NA,1
"92","HW320119","6/15/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"LAKE VIEW",44,"UNFOUNDED",NA,1
"93","HW332154","6/23/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",22,"BEVERLY",19,"BONA FIDE",NA,1
"94","HW333812","6/23/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",16,"OHARE",41,"BONA FIDE",NA,1
"95","HW342694","6/30/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",25,"BELMONT CRAGIN",31,"UNFOUNDED",NA,1
"96","HW343179","6/29/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",19,"UPTOWN",46,"UNDETERMINED",NA,1
"97","HW344613","7/2/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","North",15,"AUSTIN",28,"BONA FIDE",NA,1
"98","HW346430","7/3/2013 12:00:00 AM","051B","ASSAULT: AGGRAVATED: OTHER FIREARM","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",8,"WEST LAWN",13,"BONA FIDE",NA,1
"99","HW351288","7/7/2013 12:00:00 AM","320","ROBBERY: STRONGARM - NO WEAPON","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",15,"AUSTIN",28,"BONA FIDE",NA,1
"100","HW351419","7/7/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",6,"AUBURN GRESHAM",17,"UNDETERMINED",NA,1
"101","HW354724","7/9/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-OTHER RACE/ETHNICITY/ANCESTRY","South",6,"AUBURN GRESHAM",17,"UNDETERMINED",NA,1
"102","HW362292","7/7/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","Central",2,"KENWOOD",4,"UNDETERMINED",NA,1
"103","HW376179","7/23/2013 12:00:00 AM","051A","ASSAULT: AGGRAVATED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",6,"CHATHAM",6,"BONA FIDE",NA,1
"104","HW378144","7/25/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","North",16,"JEFFERSON PARK",45,"BONA FIDE",NA,1
"105","HW389332","8/1/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",4,"CALUMET HEIGHTS",8,"BONA FIDE",NA,1
"106","HW391021","8/3/2013 12:00:00 AM","560","ASSAULT: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","South",7,"WEST ENGLEWOOD",15,"UNDETERMINED",NA,1
"107","HW410102","8/19/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",20,"EDGEWATER",48,"UNFOUNDED",NA,1
"108","HW412799","8/17/2013 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",14,"WEST TOWN",26,"UNFOUNDED",NA,0
"109","HW415492","8/13/2013 12:00:00 AM","1305","CRIMINAL DAMAGE: CRIMINAL DEFACEMENT","B - RELIGION"," ANTI-JEWISH","North",24,"WEST RIDGE",50,"UNFOUNDED",NA,0
"110","HW420104","8/23/2013 12:00:00 AM","620","BURGLARY: UNLAWFUL ENTRY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",14,"LOGAN SQUARE",1,"UNDETERMINED",NA,0
"111","HW420313","8/23/2013 12:00:00 AM","031A","ROBBERY: ARMED: HANDGUN","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",20,"EDGEWATER",48,"UNDETERMINED",NA,1
"112","HW422581","8/25/2013 12:00:00 AM","460","BATTERY: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-ASIAN","Central",18,"NEAR NORTH SIDE",42,"UNDETERMINED",NA,1
"113","HW423174","8/26/2013 12:00:00 AM","5000","OTHER OFFENSE: OTHER CRIME AGAINST PERSON","A - RACE/ETHNICITY/ANCESTRY","ANTI-HISPANIC/LATINO","North",16,"PORTAGE PARK",38,"UNDETERMINED",NA,0
"114","HW431812","8/31/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","South",6,"ROSELAND",21,"UNDETERMINED",NA,1
"115","HW442163","9/7/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",16,"NORWOOD PARK",41,"BONA FIDE",NA,1
"116","HW449646","9/13/2013 12:00:00 AM","486","BATTERY: DOMESTIC BATTERY SIMPLE","C - SEXUAL ORIENTATION"," ANTI-GAY (MALE)","North",15,"AUSTIN",29,"UNDETERMINED",NA,1
"117","HW460215","9/20/2013 12:00:00 AM","460","BATTERY: SIMPLE","C - SEXUAL ORIENTATION"," ANTI-LESBIAN","North",15,"AUSTIN",29,"UNFOUNDED",NA,1
"118","HW468334","9/25/2013 12:00:00 AM","2820","OTHER OFFENSE: TELEPHONE THREAT","B - RELIGION"," ANTI-JEWISH","Central",12,"NEAR WEST SIDE",42,"BONA FIDE",NA,0
"119","HW508048","10/26/2013 12:00:00 AM","560","ASSAULT: SIMPLE","A - RACE/ETHNICITY/ANCESTRY"," ANTI-WHITE","South",5,"RIVERDALE",9,"BONA FIDE",NA,1
"120","HW511822","10/29/2013 12:00:00 AM","558","ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",17,"NORTH PARK",39,"BONA FIDE",NA,1
"121","HW512249","10/29/2013 12:00:00 AM","1310","CRIMINAL DAMAGE: TO PROPERTY","A - RACE/ETHNICITY/ANCESTRY","ANTI-BLACK/AFRICAN-AMERICAN","North",11,"HUMBOLDT PARK",27,"BONA FIDE",NA,0
